#Task Selector: 5
#PID Parameters: kp: 0.09, kd: 0.04, ki: 0.01
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0.02 0.00 0.00 0.00 0.00 -97.45 14.50 -9.75 1.45 -609.06 90.61 -60.91 9.06
0.03 0.00 0.00 0.00 0.00 -100.61 14.52 -19.81 2.90 -625.67 90.27 -123.47 18.09
0.05 0.00 0.00 0.00 0.00 -100.60 13.29 -29.87 4.23 -699.93 92.45 -193.47 27.33
0.06 0.00 0.00 0.00 0.00 -97.44 13.28 -39.61 5.56 -632.67 86.22 -256.73 35.96
0.08 0.00 0.00 0.00 0.00 -91.33 13.26 -48.74 6.88 -497.68 72.27 -306.50 43.18
0.09 0.00 0.00 0.00 0.00 -88.36 13.25 -57.58 8.21 -715.44 107.32 -378.04 53.91
0.10 0.00 0.00 0.00 0.00 -88.36 13.25 -66.42 9.54 -837.89 125.69 -461.83 66.48
0.12 0.00 0.00 0.00 0.00 -82.60 13.24 -74.68 10.86 -577.77 92.62 -519.61 75.74
0.13 0.00 0.00 0.00 0.00 -79.79 12.06 -82.65 12.07 -542.19 81.94 -573.83 83.94
0.15 0.00 0.00 0.00 0.00 -74.31 10.89 -90.09 13.15 -498.38 73.07 -623.67 91.25
0.16 0.00 0.00 0.00 0.00 -71.65 15.53 -87.51 13.26 181.19 7.26 -544.64 82.91
0.17 0.00 0.00 0.00 0.00 -74.31 10.89 -84.88 12.90 160.55 -22.11 -466.02 71.67
0.19 0.00 0.00 0.00 0.00 -77.03 12.06 -82.52 12.77 181.86 -9.49 -377.84 61.48
0.25 0.00 0.00 0.00 0.00 -74.31 12.06 -80.21 12.65 149.07 -7.87 -299.67 52.07
0.27 0.00 0.00 0.00 0.00 -66.40 12.06 -77.71 12.53 39.09 -1.89 -245.99 44.65
0.28 0.00 0.00 0.00 0.00 -63.83 12.06 -75.26 12.41 212.31 -10.37 -153.22 32.88
0.29 0.00 0.00 0.00 0.00 -58.79 13.19 -72.30 12.40 215.09 -0.47 -47.92 20.27
0.31 0.00 0.00 0.00 0.00 -53.87 13.18 -69.43 12.40 242.02 -0.49 34.06 10.96
