#Task Selector: 6
#PID Parameters: kp: 0.09, kd: 0.04, ki: 0.02
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0.02 0.00 0.00 0.00 0.00 2.43 5.55 0.24 0.55 15.17 34.68 1.52 3.47
0.03 0.00 0.00 0.00 0.00 2.43 5.55 0.49 1.11 14.05 32.13 2.92 6.68
0.05 0.00 0.00 0.00 0.00 3.51 6.63 0.84 1.77 21.92 41.42 5.11 10.82
0.07 0.00 0.00 0.00 0.00 2.43 6.63 1.08 2.44 14.94 40.84 6.61 14.91
0.08 0.00 0.00 0.00 0.00 3.51 7.72 1.43 3.21 20.74 45.60 8.68 19.47
0.10 0.00 0.00 0.00 0.00 2.43 2.29 1.67 3.44 15.48 14.61 10.23 20.93
0.11 0.00 0.00 0.00 0.00 2.43 5.55 1.92 3.99 14.77 33.76 11.71 24.30
0.13 0.00 0.00 0.00 0.00 3.51 5.55 2.27 4.55 21.86 34.54 13.89 27.76
0.15 0.00 0.00 0.00 0.00 3.51 6.63 2.62 5.21 20.94 39.56 15.99 31.71
0.16 0.00 0.00 0.00 0.00 4.60 -4.26 3.08 4.78 28.77 -26.60 18.86 29.05
0.18 0.00 0.00 0.00 0.00 6.77 5.55 3.51 4.78 27.55 -0.01 20.10 25.58
0.20 0.00 0.00 0.00 0.00 3.51 4.46 3.62 4.68 6.65 -6.66 19.36 21.71
0.21 0.00 0.00 0.00 0.00 2.43 5.55 3.51 4.57 -6.34 -6.34 16.54 16.93
0.23 0.00 0.00 0.00 0.00 2.43 2.29 3.51 4.13 0.00 -27.87 15.04 10.06
0.24 0.00 0.00 0.00 0.00 4.60 4.46 3.62 3.81 6.63 -19.88 13.63 3.51
0.26 0.00 0.00 0.00 0.00 5.68 6.63 3.95 4.24 20.32 27.13 14.11 4.76
0.28 0.00 0.00 0.00 0.00 4.60 4.46 4.16 4.13 12.82 -6.42 13.92 0.74
0.29 0.00 0.00 0.00 0.00 6.76 6.63 4.49 4.24 20.65 6.88 13.80 -2.02
0.31 0.00 0.00 0.00 0.00 4.60 3.38 4.60 3.92 6.77 -20.32 12.38 -8.01
0.33 0.00 0.00 0.00 0.00 6.76 7.72 4.81 5.11 13.22 73.25 10.83 1.98
0.34 0.00 0.00 0.00 0.00 4.59 8.80 4.60 5.44 -12.96 19.44 6.78 3.92
0.36 0.00 0.00 0.00 0.00 6.76 6.63 4.92 5.66 20.27 13.52 8.14 5.94
0.37 0.00 0.00 0.00 0.00 6.76 6.63 5.35 5.76 26.77 6.69 11.45 7.24
0.39 0.00 0.00 0.00 0.00 6.76 6.63 5.79 6.20 26.91 26.95 14.14 12.72
0.41 0.00 0.00 0.00 0.00 4.60 4.46 5.79 6.20 0.00 0.00 13.48 14.71
0.42 0.00 0.00 0.00 0.00 6.77 0.11 5.90 5.55 6.87 -41.08 12.13 7.89
0.44 0.00 0.00 0.00 0.00 6.76 6.63 6.11 5.76 13.41 13.42 12.19 9.87
0.46 0.00 0.00 0.00 0.00 6.77 4.46 6.11 5.55 0.01 -13.16 10.13 7.87
0.47 0.00 0.00 0.00 0.00 6.76 7.72 6.33 5.98 13.38 26.81 10.79 12.58
0.49 0.00 0.00 0.00 0.00 6.77 5.55 6.33 5.76 0.01 -13.24 9.47 3.93
0.50 0.00 0.00 0.00 0.00 6.77 5.55 6.55 5.44 13.52 -20.28 12.12 -0.04
0.52 0.00 0.00 0.00 0.00 5.68 6.63 6.44 5.44 -6.69 0.00 9.42 -1.39
0.54 0.00 0.00 0.00 0.00 8.93 7.72 6.66 5.55 13.14 6.56 8.06 -1.40
0.55 0.00 0.00 0.00 0.00 5.68 7.72 6.55 5.65 -6.61 6.61 4.70 -3.44
0.57 0.00 0.00 0.00 0.00 4.59 7.72 6.55 5.98 -0.01 20.88 4.70 -1.35
0.59 0.00 0.00 0.00 0.00 5.68 9.89 6.44 6.96 -6.61 59.14 3.36 8.67
0.60 0.00 0.00 0.00 0.00 5.68 6.63 6.33 6.96 -6.65 0.00 1.35 7.33
0.62 0.00 0.00 0.00 0.00 4.59 7.72 6.11 7.28 -13.16 19.74 0.03 10.62
0.63 0.00 0.00 0.00 0.00 4.60 6.63 5.90 7.17 -14.39 -7.19 -2.74 7.22
0.65 0.00 0.00 0.00 0.00 4.59 7.72 5.68 7.39 -13.25 13.26 -4.07 9.87
0.67 0.00 0.00 0.00 0.00 4.60 6.63 5.46 7.50 -13.39 6.70 -6.76 12.57
0.68 0.00 0.00 0.00 0.00 3.51 8.80 5.25 7.72 -13.44 13.44 -7.44 13.91
0.70 0.00 0.00 0.00 0.00 3.51 8.80 4.70 7.83 -30.43 6.10 -11.79 13.87
0.72 0.00 0.00 0.00 0.00 2.43 9.89 4.38 8.04 -21.96 14.65 -13.33 14.67
0.73 0.00 0.00 0.00 0.00 3.51 3.38 4.27 7.61 -6.51 -26.11 -13.98 9.97
0.75 0.00 0.00 0.00 0.00 0.26 7.72 3.73 7.39 -34.65 -13.86 -16.78 2.67
0.76 0.00 0.00 0.00 0.00 0.26 7.72 3.19 7.50 -32.55 6.52 -19.37 3.32
0.78 0.00 0.00 0.00 0.00 0.26 8.80 2.75 7.61 -27.40 6.85 -20.80 2.04
0.80 0.00 0.00 0.00 0.00 -0.83 7.72 2.21 7.72 -33.02 6.61 -22.66 3.42
