#Task Selector: 5
#PID Parameters: kp: 0.03, kd: 0.03, ki: 0.01
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0.02 0.00 0.00 0.00 0.00 4.60 4.46 0.46 0.45 28.73 27.89 2.87 2.79
0.03 0.00 0.00 0.00 0.00 2.43 4.46 0.70 0.89 14.09 25.91 4.28 5.38
0.05 0.00 0.00 0.00 0.00 4.60 6.63 1.16 1.56 28.26 40.80 7.11 9.46
0.07 0.00 0.00 0.00 0.00 4.60 4.46 1.62 2.00 28.27 27.45 9.93 12.20
0.08 0.00 0.00 0.00 0.00 4.60 6.63 2.08 2.67 27.64 39.90 12.70 16.19
0.10 0.00 0.00 0.00 0.00 2.43 5.55 2.32 3.22 14.76 33.76 14.17 19.57
0.11 0.00 0.00 0.00 0.00 2.43 6.63 2.57 3.88 15.17 41.46 15.69 23.72
0.13 0.00 0.00 0.00 0.00 2.43 5.55 2.81 4.44 15.02 34.33 17.19 27.15
0.15 0.00 0.00 0.00 0.00 8.94 5.54 3.70 4.99 54.19 33.63 22.61 30.51
0.16 0.00 0.00 0.00 0.00 6.77 5.55 4.38 5.55 42.42 34.78 26.85 33.99
0.18 0.00 0.00 0.00 0.00 6.77 5.55 4.60 5.66 13.13 6.56 25.29 31.86
0.20 0.00 0.00 0.00 0.00 2.43 6.63 4.60 5.87 -0.00 13.43 23.88 30.61
0.21 0.00 0.00 0.00 0.00 2.43 5.55 4.38 5.76 -13.55 -6.78 19.70 25.85
0.23 0.00 0.00 0.00 0.00 6.76 6.63 4.60 5.98 13.38 13.39 18.22 24.45
0.25 0.00 0.00 0.00 0.00 2.43 5.55 4.38 5.87 -12.79 -6.40 14.17 19.82
0.26 0.00 0.00 0.00 0.00 4.60 5.55 4.60 5.87 13.32 -0.00 14.03 16.44
0.28 0.00 0.00 0.00 0.00 2.43 5.55 4.60 5.76 0.00 -7.42 12.51 11.55
0.29 0.00 0.00 0.00 0.00 2.43 5.55 4.60 5.76 0.00 -0.00 11.01 8.12
0.31 0.00 0.00 0.00 0.00 0.26 6.63 3.73 5.87 -52.76 6.62 0.31 5.42
0.33 0.00 0.00 0.00 0.00 0.26 4.46 3.08 5.77 -39.30 -6.55 -7.86 1.28
0.34 0.00 0.00 0.00 0.00 0.26 5.55 2.43 5.77 -40.16 0.01 -13.19 0.63
0.36 0.00 0.00 0.00 0.00 -0.83 4.46 2.10 5.55 -19.95 -13.31 -15.18 -2.04
0.37 0.00 0.00 0.00 0.00 -1.91 3.38 1.67 5.33 -26.86 -13.46 -16.51 -2.71
0.39 0.00 0.00 0.00 0.00 -4.08 3.37 0.58 5.01 -67.00 -20.13 -24.55 -6.06
0.41 0.00 0.00 0.00 0.00 -4.08 4.46 -0.07 4.90 -39.24 -6.57 -27.20 -6.08
0.42 0.00 0.00 0.00 0.00 -4.08 3.37 -0.94 4.68 -54.33 -13.62 -33.96 -7.44
0.44 0.00 0.00 0.00 0.00 -4.09 2.29 -1.59 4.35 -40.37 -20.23 -38.00 -8.72
0.46 0.00 0.00 0.00 0.00 -6.26 3.37 -2.46 4.13 -53.53 -13.43 -43.35 -10.07
0.47 0.00 0.00 0.00 0.00 -6.26 2.28 -3.11 3.70 -40.71 -27.18 -42.14 -13.45
0.49 0.00 0.00 0.00 0.00 -6.26 1.19 -3.76 3.37 -38.71 -19.42 -42.09 -14.73
0.50 0.00 0.00 0.00 0.00 -6.26 1.19 -4.41 2.94 -40.23 -26.88 -42.09 -17.42
0.52 0.00 0.00 0.00 0.00 -6.27 -0.99 -4.96 2.39 -33.70 -33.76 -43.47 -19.47
0.54 0.00 0.00 0.00 0.00 -7.35 0.10 -5.50 2.06 -33.97 -20.45 -44.18 -20.17
0.55 0.00 0.00 0.00 0.00 -7.35 1.19 -5.83 1.85 -19.88 -13.29 -39.47 -19.48
