#Task Selector: 5
#PID Parameters: kp: 0.02, kd: 0.04, ki: 0.00
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0.02 0.00 0.00 0.00 0.00 103.04 -3.88 10.30 -0.39 643.98 -24.25 64.40 -2.43
0.03 0.00 0.00 0.00 0.00 102.98 -2.65 20.60 -0.65 607.68 -15.62 125.17 -3.99
0.05 0.00 0.00 0.00 0.00 99.85 -2.55 30.59 -0.91 612.60 -15.62 186.43 -5.55
0.07 0.00 0.00 0.00 0.00 96.79 -2.45 40.27 -1.15 579.51 -14.67 244.38 -7.01
0.08 0.00 0.00 0.00 0.00 96.79 -2.45 49.95 -1.40 593.29 -15.01 303.71 -8.52
0.10 0.00 0.00 0.00 0.00 93.67 1.26 59.31 -1.27 590.35 7.94 362.74 -7.72
0.11 0.00 0.00 0.00 0.00 90.99 -5.88 68.41 -1.86 561.16 -36.28 418.86 -11.35
0.13 0.00 0.00 0.00 0.00 87.95 -2.19 77.21 -2.08 532.47 -13.25 472.10 -12.68
0.15 0.00 0.00 0.00 0.00 82.33 -2.04 85.44 -2.28 519.74 -12.85 524.08 -13.96
0.16 0.00 0.00 0.00 0.00 76.88 -1.90 93.13 -2.47 492.29 -12.14 573.31 -15.17
0.18 0.00 0.00 0.00 0.00 76.82 0.44 90.51 -2.04 -165.70 27.30 492.34 -10.02
0.20 0.00 0.00 0.00 0.00 71.43 8.61 87.35 -0.91 -193.72 69.09 412.20 -1.55
0.21 0.00 0.00 0.00 0.00 71.50 2.85 84.51 -0.37 -157.34 29.95 335.21 3.01
0.23 0.00 0.00 0.00 0.00 68.95 0.59 81.73 -0.07 -175.64 19.19 259.69 6.39
0.24 0.00 0.00 0.00 0.00 68.91 2.89 78.94 0.46 -172.31 33.00 183.13 11.19
0.26 0.00 0.00 0.00 0.00 66.36 2.93 76.21 0.63 -166.97 10.19 107.40 11.42
0.28 0.00 0.00 0.00 0.00 66.35 4.07 73.75 1.63 -147.88 59.73 36.49 21.02
0.29 0.00 0.00 0.00 0.00 61.34 4.13 71.09 2.26 -169.53 40.24 -33.71 26.37
0.31 0.00 0.00 0.00 0.00 61.35 2.99 68.99 2.76 -128.23 30.75 -98.50 30.73
0.33 0.00 0.00 0.00 0.00 58.89 3.03 67.19 3.25 -109.80 30.03 -158.71 34.95
0.34 0.00 0.00 0.00 0.00 54.04 3.08 64.91 3.52 -137.67 15.98 -155.91 33.81
0.36 0.00 0.00 0.00 0.00 51.65 3.11 62.93 2.97 -125.21 -34.80 -149.06 23.42
0.37 0.00 0.00 0.00 0.00 49.26 4.25 60.71 3.11 -136.90 8.62 -147.01 21.29
0.39 0.00 0.00 0.00 0.00 42.28 3.20 58.04 3.37 -164.01 16.05 -145.85 20.98
0.41 0.00 0.00 0.00 0.00 39.97 4.33 55.15 3.51 -173.38 8.61 -145.96 18.54
0.42 0.00 0.00 0.00 0.00 35.42 4.36 52.05 3.65 -193.05 8.93 -148.57 18.41
0.44 0.00 0.00 0.00 0.00 35.43 3.26 48.96 3.57 -191.98 -5.06 -152.97 11.93
0.46 0.00 0.00 0.00 0.00 30.94 2.19 45.92 3.38 -188.39 -12.03 -154.86 6.71
0.47 0.00 0.00 0.00 0.00 26.48 2.22 42.44 3.30 -207.59 -4.63 -162.80 3.17
0.49 0.00 0.00 0.00 0.00 24.27 1.13 38.97 3.11 -211.81 -11.57 -173.00 -0.99
0.50 0.00 0.00 0.00 0.00 22.06 1.15 35.78 2.92 -195.31 -11.82 -178.76 -3.77
0.52 0.00 0.00 0.00 0.00 18.76 2.26 32.49 2.83 -210.16 -5.46 -187.26 -0.84
0.54 0.00 0.00 0.00 0.00 18.76 1.16 29.44 2.52 -184.45 -18.67 -192.01 -3.57
0.55 0.00 0.00 0.00 0.00 15.48 2.27 26.76 2.43 -165.83 -5.77 -192.19 -5.75
0.57 0.00 0.00 0.00 0.00 11.12 1.19 23.87 2.12 -178.33 -19.38 -192.69 -8.55
