#Task Selector: 5
#PID Parameters: kp: 0.09, kd: 0.04, ki: 0.01
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0.02 0.00 0.00 0.00 0.00 2.43 -23.16 0.24 -2.32 15.21 -144.75 1.52 -14.47
0.03 0.00 0.00 0.00 0.00 2.43 -24.30 0.49 -4.75 13.77 -137.43 2.90 -28.22
0.05 0.00 0.00 0.00 0.00 2.43 -22.03 0.73 -6.95 15.25 -138.04 4.42 -42.02
0.07 0.00 0.00 0.00 0.00 2.43 -24.30 0.97 -9.38 15.08 -150.55 5.93 -57.08
0.08 0.00 0.00 0.00 0.00 2.43 -23.16 1.22 -11.69 14.89 -141.74 7.42 -71.25
0.10 0.00 0.00 0.00 0.00 2.43 -23.16 1.46 -14.01 15.14 -144.11 8.93 -85.66
0.11 0.00 0.00 0.00 0.00 2.43 -22.03 1.70 -16.21 14.86 -134.52 10.42 -99.11
0.13 0.00 0.00 0.00 0.00 2.43 -22.03 1.95 -18.42 14.80 -134.00 11.90 -112.51
0.15 0.00 0.00 0.00 0.00 3.53 -22.03 2.30 -20.62 21.83 -136.13 14.08 -126.13
0.16 0.00 0.00 0.00 0.00 2.43 -20.90 2.54 -22.71 15.86 -136.25 15.67 -139.75
0.18 0.00 0.00 0.00 0.00 2.43 -19.77 2.54 -22.37 -0.01 20.84 14.15 -123.19
0.20 0.00 0.00 0.00 0.00 4.62 -18.65 2.76 -21.80 13.72 35.37 14.14 -105.91
0.21 0.00 0.00 0.00 0.00 2.43 -17.52 2.76 -21.35 -0.01 27.44 12.62 -89.36
0.23 0.00 0.00 0.00 0.00 2.43 -17.52 2.76 -20.68 -0.02 42.71 11.11 -70.04
0.24 0.00 0.00 0.00 0.00 2.43 -15.29 2.76 -19.89 -0.02 47.15 9.62 -51.15
0.26 0.00 0.00 0.00 0.00 2.43 -14.18 2.76 -18.99 -0.02 54.93 8.10 -31.24
0.28 0.00 0.00 0.00 0.00 2.43 -13.07 2.76 -18.09 -0.02 56.88 6.61 -12.10
0.29 0.00 0.00 0.00 0.00 1.34 -10.85 2.65 -16.98 -6.65 67.96 4.47 8.09
0.31 0.00 0.00 0.00 0.00 2.43 -8.64 2.54 -15.64 -6.62 80.31 1.62 29.73
0.33 0.00 0.00 0.00 0.00 2.43 -5.35 2.54 -14.08 -0.03 95.49 0.03 52.91
0.34 0.00 0.00 0.00 0.00 0.25 -3.16 2.32 -12.42 -13.55 103.33 -1.32 61.16
0.36 0.00 0.00 0.00 0.00 0.26 1.20 1.89 -10.44 -26.84 121.97 -5.38 69.82
0.37 0.00 0.00 0.00 0.00 2.43 2.29 1.89 -8.46 -0.03 123.10 -5.38 79.38
0.39 0.00 0.00 0.00 0.00 0.26 3.38 1.67 -6.37 -13.41 128.93 -6.72 88.00
0.41 0.00 0.00 0.00 0.00 -1.91 5.55 1.23 -4.28 -26.32 126.33 -9.35 95.92
0.42 0.00 0.00 0.00 0.00 0.26 7.72 1.02 -2.09 -13.49 135.98 -10.69 104.03
0.44 0.00 0.00 0.00 0.00 0.26 9.89 0.80 0.20 -12.99 137.34 -11.99 112.07
0.46 0.00 0.00 0.00 0.00 0.26 12.05 0.69 2.49 -6.80 144.21 -12.01 119.70
0.47 0.00 0.00 0.00 0.00 -0.82 13.14 0.37 4.67 -19.75 132.22 -13.32 124.89
0.49 0.00 0.00 0.00 0.00 -1.91 15.31 -0.07 6.74 -27.22 129.61 -16.04 128.30
0.50 0.00 0.00 0.00 0.00 -0.83 17.47 -0.18 8.80 -6.63 126.77 -15.35 130.64
0.52 0.00 0.00 0.00 0.00 -1.91 19.65 -0.39 10.64 -13.53 115.07 -14.02 129.95
0.54 0.00 0.00 0.00 0.00 -1.91 20.73 -0.83 12.49 -26.45 112.43 -16.66 128.89
